10,10,5000
1867,Walters,Ian,M,1836,Chon,Aria,F,1768,Litvak,Ella,F
1836,Chon,Aria,F,1795,Walters,Noah,M,1745,Walters,Jayden,M
1769,Drawdy,Thomas,M,1788,Hao,Lucy,F, -1
1819,Walters,Henry,M,1899,Kaur,Cooper,M,1819,Walters,Henry,M
1845,Walters,Cooper,M,1788,Hao,Lucy,F,1745,Li,Carter,M
1783,Sytwu,Ethan,M,1935,Lawton,Owen,M,1763,Sytwu,Charlie,M
1944,Walters,Kylie,F,1790,Walters,Scarlett,F,1790,Walters,Scarlett,F
1788,Hao,Lucy,F,1749,Hao,Hudson,M,1749,Hao,Hudson,M
1771,Walters,Jayce,M,1907,Sytwu,Nolan,M,1745,Walters,Jayden,M
1821,Sytwu,Julian,M,1824,Chon,Isabelle,F,1743,Litvak,Andrew,M
1799,Kaur,Andrew,M,1791,Lawton,Jack,M, -1
1819,Walters,Joseph,M,1830,Walters,Callie,F,1774,Li,Brooklyn,F
1760,Kaur,Nora,F,1842,Chon,Victoria,F, -1
1747,Chon,Camden,M,1909,Walters,Muhammad,M,1747,Chon,Camden,M
1797,Walters,Jordan,M,1796,Walters,Liliana,F,1750,Hsu,Reagan,F
1806,Lawton,Leah,F,1836,Chon,Aria,F,1748,Trenh,Charlie,F
1955,Anand,Evan,M,1876,Anand,Reagan,F,1809,Walters,Lucas,M
1905,Drawdy,Easton,M,1826,Lawton,London,F,1796,Walters,Liliana,F
1811,Hao,Sebastian,M,1961,Lawton,Aiden,M,1774,Li,Brooklyn,F
1771,Lawton,Nicholas,M,1788,Hao,Lucy,F, -1
1749,Anand,Jayden,M,1802,Li,Alaina,F, -1
1763,Kaur,Gabriel,M,1829,Litvak,Gavin,M, -1
1762,Walters,Clara,F,1890,Kaur,Eliana,F,1745,Walters,Jayden,M
1784,Li,Elena,F,1852,Walters,Penelope,F,1764,Litvak,Elena,F
1745,Walters,Jayden,M,1869,Walters,Isaiah,M,1745,Walters,Jayden,M
1782,Anand,Hannah,F,1792,Kaur,Charlotte,F, -1
1940,Anand,Amelia,F,1846,Chon,Layla,F,1782,Sytwu,Callie,F
1913,Walters,Anthony,M,1908,Drawdy,Riley,F,1810,Li,Kaitlyn,F
1852,Sytwu,Jasmine,F,1843,Anand,Aaron,M,1764,Litvak,Elena,F
1759,Sytwu,Dominic,M,1749,Anand,Jayden,M, -1
1745,Drawdy,Julian,M,1769,Walters,Eli,M, -1
1741,Sytwu,Xavier,M,1830,Sytwu,Sadie,F,1741,Sytwu,Xavier,M
1773,Anand,Nicholas,M,1895,Walters,Xavier,M,1750,Hsu,Reagan,F
1819,Lawton,William,M,1767,Walters,Ryder,M,1767,Walters,Ryder,M
1809,Anand,Camden,M,1791,Sytwu,Hudson,M,1741,Sytwu,Xavier,M
1788,Hao,Lucy,F,1788,Drawdy,Brooklyn,F, -1
1898,Walters,Lily,F,1890,Sytwu,Caroline,F,1806,Walters,Hailey,F
1887,Anand,Connor,M,1749,Hao,Hudson,M, -1
1878,Litvak,Alexis,F,1765,Walters,Anthony,M,1745,Walters,Jayden,M
1794,Drawdy,Nora,F,1775,Li,Sebastian,M, -1
1775,Li,Sebastian,M,1791,Lawton,Jack,M, -1
1785,Drawdy,Gavin,M,1791,Hao,Camden,M, -1
1916,Sytwu,Lily,F,1792,Kaur,Charlotte,F,1766,Litvak,Keira,F
1784,Li,Elena,F,1821,Walters,Nicholas,M,1745,Li,Carter,M
1780,Sytwu,Avery,F,1811,Chon,Sebastian,M,1745,Walters,Jayden,M
1919,Walters,Charlie,M,1779,Sytwu,Cameron,M,1760,Kaur,Nora,F
1943,Sytwu,Cole,M,1784,Sytwu,Adeline,F,1784,Sytwu,Adeline,F
1965,Kaur,Jonathan,M,1779,Sytwu,Cameron,M,1760,Kaur,Nora,F
1866,Walters,Aria,F,1930,Sytwu,Annabelle,F,1866,Walters,Aria,F
1905,Kaur,Matthew,M,1896,Walters,Victoria,F,1789,Walters,Max,M
1842,Drawdy,Amelia,F,1833,Lawton,Zachary,M,1782,Sytwu,Callie,F
1795,Lawton,Aaron,M,1872,Lawton,Skyler,F,1795,Lawton,Aaron,M
1828,Walters,Hannah,F,1827,Walters,Miles,M,1774,Li,Brooklyn,F
1774,Li,Brooklyn,F,1884,Litvak,Isabella,F,1774,Li,Brooklyn,F
1779,Sytwu,Cameron,M,1783,Sytwu,Ethan,M,1741,Sytwu,Xavier,M
1813,Sytwu,Evan,M,1811,Hao,Sebastian,M,1745,Li,Carter,M
1966,Sytwu,Lucy,F,1794,Sytwu,Nora,F,1794,Sytwu,Nora,F
1798,Drawdy,Amelia,F,1747,Chon,Camden,M, -1
1767,Hao,Ethan,M,1791,Lawton,Jack,M, -1
1813,Lawton,Samuel,M,1924,Walters,Jasmine,F,1768,Anand,Alexandra,F
1788,Hao,Lucy,F,1871,Walters,Landon,M,1745,Li,Carter,M
1766,Li,Hailey,F,1844,Walters,Mia,F,1766,Li,Hailey,F
1840,Walters,Ella,F,1926,Walters,Avery,F,1796,Walters,Liliana,F
1938,Sytwu,Vivian,F,1848,Sytwu,Alice,F,1788,Kaur,Piper,F
1917,Kaur,Micah,M,1760,Kaur,Nora,F,1760,Kaur,Nora,F
1767,Li,Lucas,M,1745,Drawdy,Julian,M, -1
1948,Kaur,Cora,F,1845,Walters,Ian,M,1810,Li,Kaitlyn,F
1860,Kaur,London,F,1741,Sytwu,Xavier,M,1741,Sytwu,Xavier,M
1788,Hao,Lucy,F,1788,Hao,Lucy,F,1788,Hao,Lucy,F
1817,Sytwu,Declan,M,1826,Litvak,Lucy,F,1743,Litvak,Andrew,M
1782,Anand,Hannah,F,1921,Walters,Mason,M,1750,Hsu,Reagan,F
1775,Li,Sebastian,M,1774,Anand,Lila,F, -1
1836,Chon,Aria,F,1773,Anand,Nicholas,M,1750,Hsu,Reagan,F
1779,Sytwu,Cameron,M,1782,Sytwu,Callie,F,1760,Kaur,Nora,F
1786,Walters,Paisley,F,1816,Drawdy,Arianna,F,1745,Walters,Jayden,M
1782,Anand,Hannah,F,1763,Litvak,Isaiah,M, -1
1782,Anand,Hannah,F,1815,Litvak,Noah,M,1750,Hsu,Reagan,F
1786,Walters,Paisley,F,1788,Hao,Lucy,F, -1
1749,Anand,Jayden,M,1862,Walters,Camilla,F,1749,Anand,Jayden,M
1749,Anand,Jayden,M,1814,Walters,Ava,F, -1
1841,Walters,Tristan,M,1912,Lawton,Mila,F,1807,Sytwu,Easton,M
1743,Kaur,Gabriel,M,1946,Drawdy,Olivia,F,1743,Kaur,Gabriel,M
1887,Drawdy,William,M,1765,Chon,Brayden,M,1765,Chon,Brayden,M
1872,Walters,Makayla,F,1782,Anand,Hannah,F,1750,Hsu,Reagan,F
1859,Drawdy,Colton,M,1783,Sytwu,Ethan,M,1745,Walters,Jayden,M
1745,Walters,Jayden,M,1847,Lawton,Brayden,M,1745,Walters,Jayden,M
1757,Sytwu,Alex,M,1747,Chon,Camden,M, -1
1749,Hao,Hudson,M,1842,Drawdy,Amelia,F, -1
1868,Walters,Harper,F,1783,Sytwu,Ethan,M,1745,Walters,Jayden,M
1811,Chon,Sebastian,M,1811,Chon,Sebastian,M,1811,Chon,Sebastian,M
1873,Walters,Jeremiah,M,1816,Drawdy,Arianna,F,1782,Sytwu,Callie,F
1747,Chon,Camden,M,1782,Anand,Hannah,F, -1
1788,Hao,Lucy,F,1793,Chon,Ryder,M, -1
1765,Drawdy,Eli,M,1811,Hao,Sebastian,M, -1
1741,Sytwu,Xavier,M,1780,Sytwu,Avery,F,1741,Sytwu,Xavier,M
1792,Kaur,Charlotte,F,1771,Walters,Jayce,M, -1
1891,Walters,Max,M,1923,Kaur,Eli,M,1846,Sytwu,London,F
1783,Sytwu,Ethan,M,1745,Drawdy,Julian,M, -1
1745,Walters,Jayden,M,1790,Drawdy,Kylie,F, -1
1788,Hao,Lucy,F,1779,Sytwu,Cameron,M, -1
1788,Hao,Lucy,F,1880,Drawdy,Skyler,F,1745,Li,Carter,M
1743,Litvak,Andrew,M,1848,Drawdy,Sophia,F,1743,Litvak,Andrew,M
1773,Anand,Nicholas,M,1883,Anand,Ryder,M,1773,Anand,Nicholas,M
1779,Sytwu,Cameron,M,1747,Lawton,Michael,M, -1
1890,Lawton,Maria,F,1903,Anand,Evan,M,1792,Walters,Kayla,F
1848,Kaur,Isabella,F,1851,Kaur,Gavin,M,1766,Litvak,Keira,F
1868,Walters,Charlie,F,1833,Lawton,Zachary,M,1763,Sytwu,Charlie,M
1822,Drawdy,Alice,F,1767,Hao,Ethan,M, -1
1792,Li,Paisley,F,1874,Lawton,Keira,F,1792,Li,Paisley,F
1774,Li,Brooklyn,F,1788,Hao,Lucy,F,1745,Li,Carter,M
1845,Sytwu,Eli,M,1747,Lawton,Michael,M, -1
1843,Anand,Aaron,M,1833,Lawton,Zachary,M,1763,Sytwu,Charlie,M
1867,Walters,Gavin,M,1889,Walters,Lucas,M,1802,Walters,Sophia,F
1772,Litvak,Liliana,F,1749,Anand,Jayden,M, -1
1791,Lawton,Jack,M,1852,Sytwu,Jasmine,F,1750,Hsu,Reagan,F
1791,Walters,Alexander,M,1821,Sytwu,Julian,M,1745,Li,Carter,M
1765,Drawdy,Eli,M,1765,Chon,Brayden,M, -1
1791,Lawton,Jack,M,1837,Sytwu,Landon,M,1750,Hsu,Reagan,F
1894,Walters,Alice,F,1782,Li,Grace,F,1782,Li,Grace,F
1775,Li,Sebastian,M,1887,Walters,Grayson,M,1745,Li,Carter,M
1833,Lawton,Zachary,M,1863,Walters,Easton,M,1782,Sytwu,Callie,F
1765,Chon,Brayden,M,1793,Chon,Ryder,M,1765,Chon,Brayden,M
1830,Hao,Charlotte,F,1783,Sytwu,Ethan,M,1745,Walters,Jayden,M
1912,Drawdy,Eva,F,1884,Anand,Stella,F,1802,Walters,Sophia,F
1783,Sytwu,Ethan,M,1747,Lawton,Michael,M, -1
1785,Kaur,Dominic,M,1884,Drawdy,Gianna,F,1785,Kaur,Dominic,M
1767,Li,Lucas,M,1765,Chon,Brayden,M, -1
